model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
Corolla,2019,24025,Automatic,8812,Hybrid,135,78.5,1.8,Toyota
C Class,2019,29749,Semi-Auto,8559,Diesel,145,64.2,2.0,Mercedes-Benz
GLC Class,2020,49980,Semi-Auto,4001,Petrol,145,26.4,3.0,Mercedes-Benz
T-Roc,2018,19691,Manual,25349,Diesel,150,56.5,2.0,Volkswagen
Fiesta,2017,10920,Manual,19153,Petrol,0,65.7,1.0,Ford
CL Class,2016,18000,Automatic,65706,Diesel,125,58.9,2.1,Mercedes-Benz
Q3,2015,15998,Semi-Auto,19300,Petrol,145,47.9,1.4,Audi
Passat,2017,16850,Manual,18645,Petrol,150,55.4,1.4,Volkswagen
I10,2019,8690,Manual,2362,Petrol,145,60.1,1.0,Hyundai
Kuga,2019,20999,Manual,447,Diesel,145,47.9,2.0,Ford
C Class,2019,31299,Semi-Auto,1000,Diesel,145,51.4,2.0,Mercedes-Benz
Yaris,2016,11698,Automatic,35098,Hybrid,0,78.0,1.5,Toyota
Focus,2018,11250,Manual,6421,Petrol,145,60.1,1.0,Ford
A1,2020,19290,Manual,2216,Petrol,145,47.9,1.0,Audi
Q2,2019,25491,Automatic,7778,Petrol,145,40.9,1.5,Audi
Fiesta,2018,14891,Manual,16934,Petrol,145,40.3,1.5,Ford
Aygo,2018,7895,Manual,11932,Petrol,145,68.9,1.0,Toyota
I800,2019,18497,Manual,5137,Diesel,145,31.7,2.5,Hyundai
A6,2019,36490,Semi-Auto,6508,Diesel,145,39.2,3.0,Audi
Jetta,2016,9995,Manual,57605,Diesel,20,67.3,2.0,Volkswagen
Land Cruiser,2019,44995,Automatic,4512,Diesel,145,30.1,2.8,Toyota
Superb,2017,13995,Manual,7562,Petrol,30,57.7,1.4,Skoda
Kodiaq,2019,25685,Automatic,2838,Diesel,145,56.5,2.0,Skoda
Golf,2018,15162,Manual,16176,Petrol,145,49.6,1.0,Volkswagen
Karoq,2019,18495,Manual,2085,Petrol,145,52.3,1.5,Skoda
Yaris,2017,7000,Manual,64754,Diesel,0,80.7,1.4,Toyota
Mondeo,2016,10799,Manual,59193,Diesel,30,65.7,2.0,Ford
Golf,2017,13495,Manual,28146,Diesel,150,61.4,1.6,Volkswagen
Passat,2019,30950,Automatic,5000,Hybrid,135,41.5,1.4,Volkswagen
Octavia,2018,12498,Manual,18768,Diesel,145,68.9,1.6,Skoda
Zafira,2007,1900,Manual,102000,Petrol,235,38.7,1.6,Vauxhall
Corsa,2019,9995,Manual,7416,Petrol,145,43.5,1.4,Vauxhall
Mokka X,2018,11298,Manual,28993,Petrol,145,47.1,1.4,Vauxhall
Tiguan,2018,24495,Manual,11800,Diesel,145,58.9,2.0,Volkswagen
A Class,2019,23184,Manual,1173,Petrol,145,44.8,1.3,Mercedes-Benz
Tiguan,2017,17771,Semi-Auto,35630,Diesel,160,49.6,2.0,Volkswagen
Mokka X,2018,12700,Manual,13498,Petrol,145,47.1,1.4,Vauxhall
C Class,2016,16199,Automatic,35822,Diesel,20,64.2,2.1,Mercedes-Benz
C Class,2014,8990,Automatic,80000,Diesel,145,56.5,2.1,Mercedes-Benz
T-Roc,2018,16799,Manual,16817,Petrol,145,55.4,1.0,Volkswagen
GLC Class,2018,35000,Semi-Auto,23500,Petrol,150,34.0,3.0,Mercedes-Benz
Focus,2017,10000,Manual,26488,Diesel,0,74.3,1.5,Ford
Insignia,2018,14490,Manual,9781,Petrol,150,47.1,1.5,Vauxhall
3 Series,2019,24980,Automatic,7249,Petrol,145,46.3,2.0,BMW
Polo,2017,10490,Manual,24611,Petrol,145,60.1,1.2,Volkswagen
Q3,2017,21800,Automatic,19319,Petrol,145,40.4,2.0,Audi
Arteon,2019,32850,Automatic,4800,Petrol,145,32.8,2.0,Volkswagen
Fiesta,2015,13995,Manual,29865,Petrol,150,47.9,1.6,Ford
I10,2012,3695,Manual,58205,Petrol,20,61.4,1.2,Hyundai
Astra,2016,9130,Manual,26137,Diesel,20,72.4,1.6,Vauxhall
Passat,2020,32491,Automatic,2000,Diesel,145,48.7,2.0,Volkswagen
6 Series,2013,17339,Automatic,52635,Diesel,160,49.6,3.0,BMW
GLC Class,2019,54524,Automatic,7764,Petrol,145,27.4,4.0,Mercedes-Benz
T-Roc,2020,21495,Manual,500,Petrol,145,42.2,1.5,Volkswagen
Octavia,2016,15562,Semi-Auto,17854,Diesel,125,60.1,2.0,Skoda
S Class,2017,34948,Automatic,27000,Hybrid,20,61.4,2.1,Mercedes-Benz
1 Series,2019,20875,Manual,7879,Petrol,145,44.1,1.5,BMW
Corsa,2018,8807,Manual,8200,Petrol,145,43.5,1.4,Vauxhall
A7,2016,19698,Semi-Auto,40809,Diesel,125,61.4,3.0,Audi
Grand C-MAX,2019,14950,Manual,9693,Diesel,145,57.7,1.5,Ford
Aygo,2017,7250,Manual,16499,Petrol,145,69.0,1.0,Toyota
Up,2019,10489,Manual,2800,Petrol,145,54.3,1.0,Volkswagen
Golf,2019,15990,Semi-Auto,15150,Diesel,145,54.3,1.6,Volkswagen
A Class,2017,13100,Manual,34758,Diesel,145,65.7,2.1,Mercedes-Benz
Fabia,2016,8490,Manual,33308,Petrol,20,60.1,1.2,Skoda
Q2,2017,21390,Semi-Auto,20122,Diesel,145,57.7,2.0,Audi
A5,2016,19499,Automatic,21059,Diesel,160,50.4,2.0,Audi
Aygo,2014,6995,Manual,43841,Petrol,0,69.0,1.0,Toyota
Mokka X,2019,15300,Manual,4855,Petrol,145,39.2,1.4,Vauxhall
Up,2015,5995,Manual,50263,Petrol,20,60.1,1.0,Volkswagen
Astra,2017,9580,Manual,28918,Diesel,145,78.5,1.6,Vauxhall
Golf,2018,15982,Manual,11780,Petrol,145,47.1,1.5,Volkswagen
R8,2020,133900,Semi-Auto,333,Petrol,145,21.4,5.2,Audi
5 Series,2019,30000,Automatic,6000,Diesel,145,60.1,2.0,BMW
Golf,2013,7495,Manual,51223,Petrol,30,57.6,1.2,Volkswagen
Ka+,2019,10000,Manual,3914,Petrol,145,47.9,1.2,Ford
C Class,2019,33490,Semi-Auto,2440,Diesel,145,55.4,2.0,Mercedes-Benz
2 Series,2019,23500,Semi-Auto,2664,Petrol,145,50.4,2.0,BMW
1 Series,2017,13995,Manual,14646,Diesel,30,65.7,2.0,BMW
E Class,2017,20300,Automatic,23179,Diesel,145,61.4,2.0,Mercedes-Benz
S-MAX,2016,15000,Manual,33770,Diesel,125,56.5,2.0,Ford
Corolla,2019,17499,Manual,20,Petrol,145,39.2,1.2,Toyota
Grandland X,2019,16970,Manual,15557,Diesel,145,56.5,1.5,Vauxhall
4 Series,2019,23995,Semi-Auto,2129,Petrol,145,45.6,2.0,BMW
Karoq,2018,19495,Automatic,11274,Petrol,145,53.3,1.0,Skoda
Golf,2010,3295,Manual,164000,Diesel,145,58.9,2.0,Volkswagen
Astra,2017,11195,Manual,15669,Petrol,145,51.4,1.4,Vauxhall
Golf,2015,9490,Manual,97000,Diesel,20,67.3,2.0,Volkswagen
Q5,2016,26390,Semi-Auto,37647,Diesel,240,42.8,3.0,Audi
Ioniq,2017,16999,Automatic,11062,Hybrid,0,78.5,1.6,Hyundai
A1,2020,22000,Semi-Auto,2999,Petrol,145,44.8,1.0,Audi
C-MAX,2017,11499,Manual,24832,Petrol,145,55.4,1.0,Ford
Ioniq,2019,19495,Automatic,4328,Hybrid,135,78.5,1.6,Hyundai
2 Series,2019,22000,Manual,3266,Petrol,145,52.3,1.5,BMW
2 Series,2016,16322,Semi-Auto,47254,Diesel,125,61.4,2.0,BMW
GLC Class,2018,29990,Semi-Auto,22420,Diesel,145,56.5,2.1,Mercedes-Benz
Passat,2015,6500,Automatic,138570,Diesel,20,70.6,1.6,Volkswagen
X3,2019,31826,Automatic,6314,Diesel,145,54.3,2.0,BMW
A1,2020,21000,Manual,4500,Petrol,145,47.9,1.0,Audi
Yeti Outdoor,2017,14997,Semi-Auto,16667,Petrol,125,51.4,1.2,Skoda
Fiesta,2014,6391,Manual,43904,Petrol,30,54.3,1.2,Ford
Q8,2019,58450,Semi-Auto,8450,Diesel,145,33.6,3.0,Audi
A Class,2016,13299,Manual,44553,Diesel,20,68.9,1.5,Mercedes-Benz
Golf SV,2016,9450,Manual,40421,Diesel,30,65.7,2.0,Volkswagen
X-CLASS,2017,31000,Automatic,11447,Diesel,260,35.8,2.3,Mercedes-Benz
Fabia,2016,8250,Manual,39386,Petrol,20,60.1,1.2,Skoda
Q2,2017,21990,Semi-Auto,28943,Diesel,145,57.7,2.0,Audi
A3,2019,23970,Semi-Auto,9588,Petrol,150,42.2,1.5,Audi
Up,2019,9799,Manual,1489,Petrol,145,54.3,1.0,Volkswagen
Q3,2019,29000,Automatic,7126,Petrol,150,38.2,1.5,Audi
B Class,2020,24264,Automatic,2430,Diesel,145,55.4,2.0,Mercedes-Benz
Up,2018,9490,Manual,5971,Petrol,150,64.2,1.0,Volkswagen
Golf,2019,29416,Semi-Auto,3994,Petrol,145,32.8,2.0,Volkswagen
IX20,2017,8991,Manual,27950,Petrol,125,50.4,1.4,Hyundai
