model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
RAV4,2015,9547,Manual,60148,Diesel,125,57.6,2.0,Toyota
Focus,2018,12995,Manual,14233,Petrol,145,57.7,1.0,Ford
Hilux,2017,21495,Automatic,13135,Diesel,260,36.2,2.4,Toyota
CL Class,2015,17491,Semi-Auto,54943,Diesel,20,62.8,2.1,Mercedes-Benz
Zafira,2017,12495,Manual,15757,Petrol,205,41.5,1.4,Vauxhall
Corsa,2019,9995,Manual,6549,Petrol,150,43.5,1.4,Vauxhall
Octavia,2017,7500,Manual,116750,Diesel,145,68.9,1.6,Skoda
3 Series,2019,25950,Semi-Auto,3655,Diesel,150,52.3,2.0,BMW
Kodiaq,2018,23990,Automatic,10642,Petrol,145,44.8,1.4,Skoda
Mokka X,2019,14960,Manual,10181,Petrol,145,39.2,1.4,Vauxhall
Q3,2016,17998,Manual,7102,Petrol,125,51.4,1.4,Audi
Land Cruiser,2013,25350,Automatic,33000,Diesel,325,34.9,3.0,Toyota
Astra,2017,10295,Manual,17749,Petrol,20,64.2,1.0,Vauxhall
A5,2017,23421,Semi-Auto,25207,Diesel,145,70.6,2.0,Audi
A3,2015,14298,Semi-Auto,5322,Petrol,30,58.9,1.4,Audi
Passat,2018,14450,Manual,31785,Diesel,145,68.9,2.0,Volkswagen
Focus,2014,5299,Manual,78767,Petrol,150,47.9,1.6,Ford
S Class,2019,45990,Semi-Auto,14259,Diesel,145,52.3,3.0,Mercedes-Benz
C Class,2019,30399,Semi-Auto,3964,Petrol,145,44.1,2.0,Mercedes-Benz
Fiesta,2016,8919,Manual,10010,Petrol,125,54.3,1.2,Ford
A4,2019,29991,Automatic,2798,Diesel,145,44.8,2.0,Audi
Fiesta,2019,19000,Manual,5261,Petrol,150,40.3,1.5,Ford
TT,2016,16000,Manual,22000,Diesel,30,62.8,2.0,Audi
Yaris,2017,10985,Manual,6659,Petrol,145,56.5,1.5,Toyota
GLA Class,2016,20624,Semi-Auto,20026,Diesel,125,56.5,2.1,Mercedes-Benz
Fiesta,2017,9800,Manual,14488,Petrol,145,54.3,1.2,Ford
3 Series,2018,24000,Automatic,15331,Petrol,145,40.4,3.0,BMW
EcoSport,2019,16995,Manual,6000,Petrol,145,53.3,1.0,Ford
Fiesta,2018,13371,Manual,5273,Petrol,145,60.1,1.0,Ford
C Class,2013,11350,Automatic,69000,Diesel,145,54.3,2.1,Mercedes-Benz
Mokka,2014,7998,Manual,18915,Petrol,200,43.5,1.6,Vauxhall
Tiguan,2019,24995,Manual,19,Diesel,145,47.9,2.0,Volkswagen
Golf,2019,12750,Manual,7709,Petrol,145,49.6,1.0,Volkswagen
1 Series,2018,13100,Manual,21076,Petrol,145,47.1,2.0,BMW
Polo,2017,10000,Manual,38789,Petrol,20,60.1,1.2,Volkswagen
I10,2018,7281,Manual,14985,Petrol,145,60.1,1.0,Hyundai
A3,2018,14650,Manual,8507,Diesel,145,49.6,1.6,Audi
CL Class,2017,17698,Manual,11472,Petrol,145,48.7,1.6,Mercedes-Benz
A5,2019,32195,Automatic,4500,Petrol,145,37.2,2.0,Audi
Touran,2019,19899,Manual,11708,Petrol,145,40.9,1.0,Volkswagen
A Class,2020,25990,Semi-Auto,2000,Petrol,145,47.9,1.3,Mercedes-Benz
C-MAX,2015,8295,Manual,29229,Diesel,30,61.4,1.6,Ford
1 Series,2018,17882,Semi-Auto,9993,Petrol,145,37.2,1.5,BMW
Aygo,2017,8495,Automatic,23545,Other,145,67.0,1.0,Toyota
Crossland X,2020,18995,Manual,1000,Petrol,150,47.9,1.2,Vauxhall
E Class,2017,19500,Automatic,33652,Diesel,150,67.3,2.0,Mercedes-Benz
Focus,2019,18999,Automatic,5572,Diesel,145,74.3,1.5,Ford
CL Class,2016,13799,Manual,52173,Diesel,20,67.3,2.1,Mercedes-Benz
Fiesta,2018,11500,Manual,31520,Petrol,145,65.7,1.0,Ford
2 Series,2016,16195,Automatic,23594,Hybrid,0,141.2,1.5,BMW
3 Series,2016,13999,Manual,52713,Diesel,30,64.2,2.0,BMW
3 Series,2015,22072,Semi-Auto,27536,Petrol,200,41.5,3.0,BMW
Corsa,2016,10222,Automatic,7638,Petrol,145,47.9,1.4,Vauxhall
Focus,2016,7798,Manual,63664,Diesel,0,74.3,1.5,Ford
Fabia,2017,7890,Manual,42864,Petrol,145,60.1,1.2,Skoda
Fiesta,2014,6289,Manual,40480,Petrol,30,54.3,1.2,Ford
C Class,2018,27299,Semi-Auto,3150,Diesel,145,61.4,2.0,Mercedes-Benz
Corsa,2019,10295,Manual,14600,Petrol,145,43.5,1.4,Vauxhall
A Class,2019,25399,Manual,415,Petrol,145,47.1,1.3,Mercedes-Benz
E Class,2019,32980,Semi-Auto,4998,Diesel,145,57.7,2.0,Mercedes-Benz
Passat,2018,13495,Manual,31971,Diesel,145,68.9,1.6,Volkswagen
Fiesta,2017,8795,Manual,8719,Petrol,125,54.3,1.2,Ford
A Class,2018,16699,Semi-Auto,25000,Diesel,145,65.7,1.5,Mercedes-Benz
Corsa,2018,11495,Manual,1950,Petrol,145,43.5,1.4,Vauxhall
Fabia,2019,8790,Manual,14256,Petrol,145,57.7,1.0,Skoda
Mokka X,2017,11595,Manual,23860,Petrol,145,47.1,1.4,Vauxhall
C-HR,2018,19200,Automatic,27175,Hybrid,135,74.3,1.8,Toyota
Fiesta,2019,13998,Manual,7512,Petrol,145,58.9,1.0,Ford
Fiesta,2015,6999,Manual,25000,Petrol,0,65.7,1.0,Ford
Fabia,2019,14170,Manual,1505,Petrol,145,60.1,1.0,Skoda
Golf,2015,8798,Manual,75577,Petrol,30,53.3,1.4,Volkswagen
Tiguan,2018,25995,Semi-Auto,32000,Petrol,150,38.2,2.0,Volkswagen
RAV4,2017,18490,Automatic,30724,Petrol,205,43.5,2.0,Toyota
5 Series,2016,15395,Automatic,33953,Diesel,30,62.8,2.0,BMW
Touareg,2016,21998,Semi-Auto,29435,Diesel,235,42.8,3.0,Volkswagen
GLA Class,2019,24049,Semi-Auto,14719,Petrol,145,50.4,1.6,Mercedes-Benz
Focus,2017,10700,Manual,31386,Petrol,150,60.1,1.0,Ford
Focus,2018,15498,Manual,14579,Petrol,145,60.1,1.0,Ford
C Class,2018,18799,Automatic,20090,Diesel,145,60.1,2.1,Mercedes-Benz
Focus,2018,17495,Manual,8107,Diesel,145,67.3,2.0,Ford
3 Series,2019,25980,Semi-Auto,5084,Diesel,150,52.3,2.0,BMW
Superb,2019,23790,Semi-Auto,50,Petrol,145,38.2,2.0,Skoda
Q5,2016,27998,Semi-Auto,56971,Diesel,235,42.2,3.0,Audi
1 Series,2015,7540,Manual,79999,Diesel,0,83.1,1.5,BMW
Golf,2015,15295,Manual,40020,Petrol,145,47.1,2.0,Volkswagen
Q2,2020,27495,Semi-Auto,2000,Petrol,150,43.5,1.5,Audi
Focus,2018,12495,Manual,20144,Petrol,150,57.7,1.0,Ford
Tucson,2015,9750,Manual,39000,Diesel,30,61.7,1.7,Hyundai
Corsa,2015,6360,Manual,36706,Petrol,30,55.4,1.4,Vauxhall
3 Series,2017,18780,Semi-Auto,42359,Diesel,150,64.2,2.0,BMW
Insignia,2014,7495,Manual,52040,Petrol,125,54.3,1.4,Vauxhall
TT,2016,16995,Manual,11000,Petrol,145,47.1,1.8,Audi
Fiesta,2017,10200,Manual,16039,Petrol,145,62.8,1.0,Ford
Q7,2016,32498,Semi-Auto,31022,Diesel,200,47.9,3.0,Audi
Corsa,2010,3294,Manual,79000,Petrol,125,53.3,1.2,Vauxhall
Mokka X,2019,17000,Automatic,8521,Petrol,145,37.2,1.4,Vauxhall
X4,2017,26995,Semi-Auto,25350,Diesel,200,47.9,3.0,BMW
I20,2014,5990,Manual,19150,Petrol,30,57.6,1.2,Hyundai
5 Series,2010,6500,Automatic,129000,Diesel,205,46.3,3.0,BMW
Golf SV,2017,11000,Automatic,48447,Petrol,30,54.3,1.4,Volkswagen
A3,2018,16985,Semi-Auto,23860,Petrol,145,60.1,1.0,Audi
Corsa,2013,3995,Manual,86000,Petrol,125,51.4,1.2,Vauxhall
Golf,2014,9490,Manual,45107,Petrol,125,53.3,1.4,Volkswagen
Astra,2017,10495,Automatic,29867,Petrol,125,51.4,1.4,Vauxhall
X2,2019,27990,Semi-Auto,8592,Diesel,145,58.9,2.0,BMW
Kuga,2015,8725,Manual,73506,Diesel,125,60.1,2.0,Ford
T-Roc,2019,32990,Automatic,8045,Petrol,145,32.5,2.0,Volkswagen
Mondeo,2016,7492,Manual,128000,Diesel,0,78.5,1.5,Ford
Citigo,2019,8995,Manual,9,Petrol,145,67.3,1.0,Skoda
Mokka X,2018,12895,Automatic,30513,Petrol,150,37.2,1.4,Vauxhall
Yaris,2016,9795,Manual,25441,Petrol,30,55.0,1.3,Toyota
C Class,2016,21600,Semi-Auto,33028,Diesel,30,65.7,2.1,Mercedes-Benz
Mokka X,2019,13950,Manual,11334,Petrol,150,39.2,1.4,Vauxhall
Golf,2018,15790,Manual,12652,Diesel,145,55.4,1.6,Volkswagen
Polo,2017,12698,Manual,38020,Petrol,150,47.0,1.8,Volkswagen
Focus,2014,7495,Automatic,41000,Petrol,160,44.8,1.6,Ford
Polo,2014,6950,Manual,41000,Petrol,20,60.1,1.0,Volkswagen
Yeti Outdoor,2016,12995,Semi-Auto,30000,Petrol,125,51.4,1.2,Skoda
Fiesta,2018,9990,Manual,29187,Petrol,145,65.7,1.0,Ford
Rapid,2019,9995,Manual,12106,Petrol,145,58.9,1.0,Skoda
Mokka,2019,14995,Manual,9852,Petrol,145,39.2,1.4,Vauxhall
X4,2020,46999,Semi-Auto,4000,Diesel,150,40.9,3.0,BMW
A5,2019,30000,Manual,4500,Petrol,145,37.2,2.0,Audi
Tiguan,2019,25495,Manual,8863,Diesel,145,47.9,2.0,Volkswagen
Fiesta,2015,7995,Manual,17469,Petrol,30,54.3,1.2,Ford
Fiesta,2018,8791,Manual,13579,Petrol,150,64.2,1.1,Ford
Polo,2016,9499,Manual,30672,Petrol,20,60.1,1.2,Volkswagen
3 Series,2017,19991,Semi-Auto,27123,Diesel,145,62.8,2.0,BMW
Arteon,2019,27499,Semi-Auto,10951,Petrol,150,32.8,2.0,Volkswagen
A3,2013,10398,Manual,60076,Diesel,20,68.9,2.0,Audi
3 Series,2018,20999,Semi-Auto,17101,Petrol,150,48.7,2.0,BMW
X5,2019,43750,Semi-Auto,10829,Diesel,145,37.7,3.0,BMW
B-MAX,2013,5473,Manual,50174,Petrol,30,55.4,1.0,Ford
GLC Class,2018,24970,Automatic,19360,Diesel,145,56.5,2.1,Mercedes-Benz
C Class,2017,25000,Automatic,9507,Petrol,145,47.1,2.0,Mercedes-Benz
Corsa,2017,7699,Manual,19000,Petrol,30,55.4,1.4,Vauxhall
Ioniq,2018,14995,Automatic,15946,Hybrid,135,78.5,1.6,Hyundai
Fabia,2019,12250,Manual,3138,Petrol,145,61.4,1.0,Skoda
A3,2018,17971,Semi-Auto,11532,Petrol,145,56.5,1.5,Audi
EcoSport,2017,10000,Manual,15819,Diesel,145,64.2,1.5,Ford
A Class,2020,26995,Manual,5000,Petrol,145,47.1,1.3,Mercedes-Benz
A3,2015,12995,Manual,20411,Diesel,0,74.3,1.6,Audi
Polo,2013,6000,Manual,52397,Petrol,125,51.4,1.2,Volkswagen
Astra,2017,9495,Manual,23732,Petrol,125,51.4,1.4,Vauxhall
S-MAX,2017,16000,Manual,25962,Diesel,125,56.5,2.0,Ford
Corsa,2017,8999,Manual,4377,Petrol,145,55.4,1.4,Vauxhall
Astra,2017,10999,Manual,8993,Petrol,145,51.4,1.4,Vauxhall
Prius,2013,13495,Automatic,84553,Hybrid,0,68.9,1.8,Toyota
Focus,2018,13490,Manual,11710,Petrol,145,58.9,1.0,Ford
Fiesta,2019,10698,Manual,10786,Petrol,145,55.4,1.1,Ford
S-MAX,2017,18990,Semi-Auto,35601,Diesel,145,52.3,2.0,Ford
A4,2016,14599,Manual,14380,Diesel,0,74.3,2.0,Audi
GLC Class,2019,29995,Automatic,16283,Diesel,145,41.5,2.1,Mercedes-Benz
C Class,2019,23995,Automatic,14141,Petrol,145,46.3,1.5,Mercedes-Benz
SL CLASS,2019,89880,Automatic,50,Petrol,145,28.0,5.5,Mercedes-Benz
Insignia,2016,8295,Manual,49050,Petrol,125,50.4,1.4,Vauxhall
3 Series,2016,13240,Manual,23255,Petrol,150,48.7,2.0,BMW
Q3,2015,14498,Manual,29850,Diesel,30,61.4,2.0,Audi
Golf,2017,12995,Semi-Auto,32522,Petrol,30,53.3,1.4,Volkswagen
Tucson,2019,27989,Semi-Auto,10,Petrol,145,35.8,1.6,Hyundai
I20,2017,8995,Manual,5937,Petrol,145,62.8,1.0,Hyundai
Corsa,2017,7995,Manual,14707,Petrol,30,54.3,1.4,Vauxhall
Fiesta,2015,6799,Manual,67391,Petrol,0,65.7,1.0,Ford
A3,2019,22450,Semi-Auto,5454,Petrol,145,42.2,1.5,Audi
A Class,2020,25890,Manual,1499,Petrol,145,47.1,1.3,Mercedes-Benz
I10,2017,8499,Manual,9748,Petrol,30,57.7,1.2,Hyundai
Fiesta,2018,14000,Manual,15167,Petrol,150,65.7,1.0,Ford
A Class,2017,15989,Manual,10973,Petrol,150,51.4,1.6,Mercedes-Benz
Corsa,2018,10999,Automatic,8003,Petrol,145,39.8,1.4,Vauxhall
X4,2015,19990,Semi-Auto,60059,Diesel,150,54.3,2.0,BMW
A5,2019,29950,Automatic,5000,Petrol,145,39.8,2.0,Audi
A3,2018,18998,Manual,12186,Petrol,145,60.1,1.0,Audi
Fabia,2017,9590,Manual,3236,Petrol,20,60.1,1.2,Skoda
2 Series,2019,20000,Semi-Auto,10539,Petrol,145,47.9,2.0,BMW
A Class,2019,20150,Automatic,12763,Petrol,145,53.3,1.3,Mercedes-Benz
Corsa,2019,10990,Manual,1152,Petrol,145,43.5,1.4,Vauxhall
A1,2017,10495,Manual,37131,Petrol,0,67.3,1.0,Audi
C Class,2018,19950,Semi-Auto,33082,Diesel,145,64.2,2.1,Mercedes-Benz
Adam,2017,8499,Manual,9647,Petrol,125,53.3,1.2,Vauxhall
Insignia,2016,10000,Manual,46563,Diesel,30,62.8,2.0,Vauxhall
A3,2018,25489,Semi-Auto,18478,Petrol,145,43.5,2.0,Audi
Golf,2020,25980,Manual,700,Petrol,150,47.9,1.5,Volkswagen
Yeti Outdoor,2017,11995,Manual,37363,Petrol,145,51.4,1.2,Skoda
Aygo,2017,8495,Manual,34661,Petrol,0,68.9,1.0,Toyota
1 Series,2019,17797,Manual,12266,Diesel,150,65.7,2.0,BMW
A1,2018,16992,Manual,8155,Petrol,145,51.4,1.0,Audi
3 Series,2020,39995,Semi-Auto,1898,Petrol,145,41.5,2.0,BMW
Polo,2019,16995,Manual,4632,Petrol,145,49.6,1.0,Volkswagen
2 Series,2020,34000,Semi-Auto,2986,Petrol,145,36.2,2.0,BMW
Fiesta,2017,10000,Manual,21933,Petrol,145,62.8,1.0,Ford
Corsa,2017,8500,Manual,27944,Petrol,145,55.4,1.4,Vauxhall
A Class,2015,12900,Manual,57230,Diesel,30,62.8,2.1,Mercedes-Benz
GLA Class,2019,22600,Automatic,19193,Petrol,145,37.2,1.6,Mercedes-Benz
C Class,2019,25349,Semi-Auto,10544,Petrol,145,44.1,1.5,Mercedes-Benz
Octavia,2019,13250,Manual,132644,Diesel,145,68.9,1.6,Skoda
Golf,2017,13995,Manual,12000,Petrol,125,53.3,1.4,Volkswagen
2 Series,2017,13300,Manual,19029,Petrol,150,52.3,1.5,BMW
Up,2017,7298,Manual,8351,Petrol,145,64.2,1.0,Volkswagen
GLC Class,2019,35998,Semi-Auto,7540,Diesel,145,40.9,2.0,Mercedes-Benz
A Class,2015,10914,Manual,61659,Diesel,30,64.2,2.1,Mercedes-Benz
C Class,2018,23247,Automatic,10137,Diesel,145,61.4,2.1,Mercedes-Benz
Corsa,2019,9991,Manual,1234,Petrol,145,43.5,1.4,Vauxhall
3 Series,2019,34900,Semi-Auto,4600,Diesel,145,49.6,2.0,BMW
A Class,2017,19450,Semi-Auto,20271,Diesel,145,68.9,2.1,Mercedes-Benz
A5,2016,18998,Manual,41727,Diesel,160,53.3,2.0,Audi
6 Series,2019,34442,Semi-Auto,16935,Diesel,145,47.9,3.0,BMW
RAV4,2013,7895,Manual,101800,Diesel,160,49.6,2.2,Toyota
C Class,2019,44987,Automatic,1843,Petrol,145,30.4,3.0,Mercedes-Benz
Prius,2012,13199,Automatic,37870,Hybrid,0,134.5,1.8,Toyota
Focus,2017,12000,Manual,18116,Diesel,145,74.3,1.5,Ford
Corsa,2014,6298,Manual,17931,Petrol,125,51.4,1.2,Vauxhall
Polo,2018,12390,Manual,5879,Petrol,145,64.2,1.0,Volkswagen
Polo,2017,11990,Manual,11724,Petrol,150,60.1,1.2,Volkswagen
A3,2017,17875,Semi-Auto,49524,Petrol,30,56.5,1.4,Audi
GLA Class,2015,17491,Semi-Auto,33204,Diesel,125,55.4,2.1,Mercedes-Benz
Corsa,2020,16990,Manual,1010,Petrol,145,52.3,1.2,Vauxhall
Golf,2010,4995,Manual,111913,Diesel,145,52.3,2.0,Volkswagen
Auris,2015,10888,Automatic,38441,Hybrid,0,76.4,1.8,Toyota
C Class,2020,35980,Semi-Auto,9,Diesel,145,55.4,2.0,Mercedes-Benz
Q5,2019,45490,Automatic,10,Diesel,145,36.2,2.0,Audi
EcoSport,2019,16500,Manual,4811,Petrol,145,51.4,1.0,Ford
Astra,2015,9000,Manual,25510,Petrol,125,51.4,1.4,Vauxhall
X1,2019,27490,Semi-Auto,5742,Petrol,150,48.7,2.0,BMW
Aygo,2018,6995,Manual,22935,Petrol,150,69.0,1.0,Toyota
Santa Fe,2019,40365,Semi-Auto,1,Diesel,145,39.2,2.2,Hyundai
Octavia,2019,16450,Semi-Auto,3815,Diesel,145,67.3,2.0,Skoda
Focus,2019,15798,Manual,11614,Petrol,145,60.1,1.0,Ford
Fiesta,2019,13760,Automatic,6306,Petrol,145,48.7,1.0,Ford
2 Series,2019,20999,Manual,4524,Petrol,145,57.6,1.5,BMW
Fiesta,2017,11998,Manual,6596,Petrol,0,65.7,1.0,Ford
I20,2014,6799,Manual,18495,Petrol,30,57.6,1.2,Hyundai
Golf,2015,17695,Manual,40000,Petrol,205,39.8,2.0,Volkswagen
I20,2015,6900,Manual,37000,Petrol,30,55.4,1.2,Hyundai
3 Series,2019,26836,Semi-Auto,6746,Diesel,145,52.3,2.0,BMW
Focus,2017,11980,Manual,30680,Diesel,0,74.3,1.5,Ford
X1,2019,31490,Manual,105,Diesel,145,60.1,2.0,BMW
3 Series,2018,19495,Manual,30815,Diesel,145,64.2,2.0,BMW
Fiesta,2018,10250,Manual,22600,Petrol,145,65.7,1.0,Ford
A1,2016,11995,Manual,17454,Petrol,0,67.3,1.0,Audi
Polo,2016,9498,Manual,16088,Petrol,20,60.1,1.0,Volkswagen
Yaris,2017,10995,Automatic,22909,Hybrid,0,86.0,1.5,Toyota
Fiesta,2018,10999,Manual,25424,Diesel,145,58.9,1.5,Ford
Puma,2019,23999,Manual,1225,Petrol,145,50.4,1.0,Ford
Astra,2019,15095,Semi-Auto,1043,Petrol,145,42.8,1.4,Vauxhall
Superb,2015,10995,Manual,15810,Diesel,30,65.7,1.6,Skoda
Mokka X,2019,15495,Manual,7823,Petrol,145,39.2,1.4,Vauxhall
Zafira Tourer,2016,9999,Manual,32363,Petrol,200,42.2,1.4,Vauxhall
Auris,2016,10995,Manual,26559,Petrol,30,58.9,1.2,Toyota
Fabia,2016,5990,Manual,38790,Petrol,20,60.1,1.0,Skoda
Octavia,2019,13999,Manual,15207,Petrol,145,60.1,1.0,Skoda
Fiesta,2020,15699,Manual,50,Petrol,145,56.5,1.0,Ford
Q2,2019,21902,Semi-Auto,3571,Diesel,145,47.9,1.6,Audi
1 Series,2016,9899,Manual,47325,Diesel,0,83.1,1.5,BMW
Up,2016,6250,Manual,25186,Petrol,20,62.8,1.0,Volkswagen
Auris,2013,9990,Automatic,42311,Hybrid,0,72.4,1.8,Toyota
Polo,2019,13790,Manual,4361,Diesel,145,57.7,1.6,Volkswagen
Kuga,2017,16495,Automatic,19278,Diesel,150,54.3,2.0,Ford
3 Series,2015,10999,Manual,55988,Diesel,20,72.4,2.0,BMW
I10,2019,9970,Manual,16709,Petrol,145,57.6,1.2,Hyundai
Mustang,2016,26475,Manual,12000,Petrol,570,20.9,5.0,Ford
Crossland X,2019,12299,Manual,14231,Petrol,145,44.8,1.2,Vauxhall
5 Series,2012,9499,Automatic,129000,Diesel,165,51.4,3.0,BMW
Octavia,2014,7500,Manual,58590,Diesel,0,74.3,1.6,Skoda
Corsa,2018,9199,Manual,9996,Petrol,145,43.5,1.4,Vauxhall
Mokka,2015,8299,Manual,52684,Diesel,20,68.9,1.6,Vauxhall
B Class,2019,22099,Semi-Auto,13916,Petrol,145,45.6,1.3,Mercedes-Benz
GLC Class,2017,26995,Semi-Auto,21500,Diesel,145,56.5,2.1,Mercedes-Benz
Astra,2016,8635,Manual,40514,Petrol,125,51.4,1.4,Vauxhall
Yaris,2015,6999,Manual,40215,Petrol,30,58.0,1.3,Toyota
3 Series,2015,12500,Automatic,107940,Diesel,145,56.5,3.0,BMW
X1,2016,17998,Semi-Auto,45944,Diesel,150,55.4,2.0,BMW
Polo,2016,13800,Automatic,17337,Petrol,125,50.4,1.8,Volkswagen
Mokka X,2018,14499,Manual,19391,Petrol,145,36.7,1.4,Vauxhall
Mokka X,2018,12277,Manual,6378,Petrol,145,47.1,1.4,Vauxhall
C-HR,2018,19500,Automatic,27856,Hybrid,135,74.3,1.8,Toyota
GLC Class,2019,32049,Semi-Auto,10698,Diesel,145,42.2,2.1,Mercedes-Benz
Golf,2017,21995,Manual,14000,Petrol,145,43.5,2.0,Volkswagen
3 Series,2017,15790,Manual,35238,Diesel,30,64.2,2.0,BMW
Astra,2020,15990,Manual,397,Petrol,145,54.3,1.2,Vauxhall
Fabia,2017,8298,Manual,46334,Diesel,150,78.5,1.4,Skoda
Mokka X,2019,13498,Manual,5908,Petrol,145,39.2,1.4,Vauxhall
Golf,2011,7995,Semi-Auto,41900,Diesel,150,52.3,2.0,Volkswagen
Crossland X,2019,13495,Semi-Auto,15000,Petrol,145,44.8,1.2,Vauxhall
Aygo,2017,10250,Automatic,9050,Other,145,67.3,1.0,Toyota
KA,2012,3499,Manual,65000,Petrol,30,57.7,1.2,Ford
I10,2018,10399,Manual,3796,Petrol,150,57.6,1.2,Hyundai
A7,2019,35845,Automatic,3000,Diesel,145,47.1,2.0,Audi
Fiesta,2017,9200,Manual,28330,Petrol,150,65.7,1.0,Ford
A8,2017,35850,Semi-Auto,32066,Petrol,145,30.1,4.0,Audi
EcoSport,2017,8995,Manual,25152,Petrol,150,52.3,1.0,Ford
Fiesta,2019,12790,Manual,10147,Petrol,145,58.9,1.0,Ford
E Class,2018,26965,Semi-Auto,13438,Petrol,145,40.4,2.0,Mercedes-Benz
C-MAX,2019,15995,Automatic,10000,Diesel,145,56.5,1.5,Ford
E Class,2017,22980,Semi-Auto,18038,Diesel,145,65.7,2.0,Mercedes-Benz
Fiesta,2018,12100,Manual,21300,Petrol,145,56.5,1.0,Ford
Citigo,2017,6300,Manual,27000,Petrol,150,64.2,1.0,Skoda
Polo,2019,18493,Automatic,5421,Petrol,145,39.8,2.0,Volkswagen
Fiesta,2018,11690,Manual,8156,Petrol,145,65.7,1.0,Ford
Touran,2017,16495,Manual,31000,Diesel,30,61.4,1.6,Volkswagen
C Class,2015,11490,Manual,80000,Petrol,125,52.3,2.0,Mercedes-Benz
Citigo,2017,6490,Manual,19369,Petrol,150,64.2,1.0,Skoda
Golf,2019,29899,Semi-Auto,7246,Petrol,150,32.8,2.0,Volkswagen
1 Series,2014,9999,Manual,42994,Petrol,145,50.4,1.6,BMW
A1,2016,11062,Manual,26916,Petrol,0,67.3,1.0,Audi
Fiesta,2017,10195,Semi-Auto,16285,Petrol,0,57.7,1.0,Ford
Crossland X,2019,11390,Manual,2357,Petrol,145,44.8,1.2,Vauxhall
Corsa,2014,4990,Manual,32000,Petrol,125,51.4,1.2,Vauxhall
2 Series,2016,11999,Manual,56953,Diesel,30,64.2,2.0,BMW
Corsa,2018,8817,Manual,1712,Petrol,145,43.5,1.4,Vauxhall
A6,2015,18990,Semi-Auto,70228,Diesel,145,54.3,3.0,Audi
C Class,2015,12795,Automatic,101480,Diesel,30,61.4,2.1,Mercedes-Benz
Tucson,2016,11499,Manual,27542,Diesel,30,61.7,1.7,Hyundai
Q3,2014,15995,Semi-Auto,24000,Petrol,265,36.7,2.0,Audi
GTC,2017,10795,Manual,19000,Petrol,145,47.1,1.4,Vauxhall
Sharan,2016,16500,Manual,39870,Diesel,125,56.5,2.0,Volkswagen
A Class,2016,17990,Semi-Auto,29999,Petrol,125,49.6,1.6,Mercedes-Benz
Corsa,2013,5471,Manual,32951,Petrol,30,55.4,1.0,Vauxhall
Ioniq,2018,13998,Automatic,22508,Hybrid,135,78.5,1.6,Hyundai
E Class,2019,25780,Semi-Auto,11205,Diesel,145,72.4,2.0,Mercedes-Benz
Grandland X,2019,18499,Automatic,10767,Petrol,150,43.5,1.2,Vauxhall
Focus,2017,10289,Manual,20254,Diesel,0,74.3,1.5,Ford
Focus,2018,12000,Manual,13696,Petrol,145,60.1,1.0,Ford
Focus,2019,24290,Manual,9248,Petrol,145,34.5,2.3,Ford
Fiesta,2015,7500,Manual,55478,Petrol,20,62.8,1.0,Ford
Polo,2016,9998,Manual,17249,Petrol,20,60.1,1.2,Volkswagen
Yaris,2017,12998,Automatic,8770,Hybrid,140,76.3,1.5,Toyota
Kuga,2017,12170,Manual,27646,Diesel,30,64.2,1.5,Ford
Kuga,2017,16355,Manual,20400,Diesel,145,60.1,2.0,Ford
Polo,2019,15126,Semi-Auto,5408,Petrol,145,45.6,1.0,Volkswagen
Polo,2010,4250,Manual,79000,Petrol,125,51.4,1.2,Volkswagen
Yaris,2018,10450,Manual,8676,Petrol,150,47.1,1.5,Toyota
Yaris,2019,13995,Manual,4998,Petrol,145,47.9,1.5,Toyota
Astra,2014,7299,Manual,30457,Diesel,125,60.1,2.0,Vauxhall
Kona,2019,14298,Manual,5034,Petrol,145,44.1,1.0,Hyundai
Polo,2018,11412,Manual,10977,Petrol,145,48.7,1.0,Volkswagen
M6,2006,12495,Semi-Auto,89000,Petrol,570,19.1,5.0,BMW
Shuttle,2020,25199,Manual,1000,Diesel,150,37.7,2.0,Volkswagen
I10,2018,7259,Manual,30549,Petrol,145,57.7,1.2,Hyundai
Corsa,2018,8690,Manual,13000,Petrol,150,55.4,1.4,Vauxhall
Golf,2016,16490,Manual,28454,Diesel,20,67.3,2.0,Volkswagen
A4,2019,18998,Manual,2069,Petrol,145,41.5,2.0,Audi
GLA Class,2017,17490,Semi-Auto,20530,Diesel,145,56.6,2.1,Mercedes-Benz
I10,2010,1990,Manual,85640,Petrol,30,56.5,1.2,Hyundai
3 Series,2015,14000,Manual,33021,Diesel,125,60.1,2.0,BMW
Golf,2019,17999,Manual,5000,Diesel,145,57.7,1.6,Volkswagen
Tiguan,2016,18295,Automatic,28500,Diesel,125,57.6,2.0,Volkswagen
3 Series,2018,22875,Semi-Auto,8973,Petrol,145,47.9,2.0,BMW
Aygo,2016,8622,Automatic,18072,Petrol,0,67.0,1.0,Toyota
Yaris,2016,13432,Automatic,8561,Hybrid,0,86.0,1.5,Toyota
I10,2017,5992,Manual,26921,Petrol,145,60.1,1.0,Hyundai
C-MAX,2017,10498,Manual,15454,Diesel,20,68.9,1.5,Ford
Fabia,2016,8480,Manual,33789,Petrol,20,58.9,1.2,Skoda
